"Violation ID","Primary Building Identifier","Primary Boro Identifier","Primary Borough Name","Primary House Number","Primary Low House Number","Primary High House Number","Primary Street Name","Primary Postcode","Development Name","TDS Number","Stairhall Number","NYCHA Address Section BoroID","NYCHA Address Section Borough","NYCHA Address Section House Number","NYCHA Address Section Street Name","NYCHA Address Section PostCode","Apartment","Story","Block","Lot","Violation Description","Class","Inspection Date","Approved Date","Order Number","Issued in Error","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"18586450","809336","3","BROOKLYN","192","192","192","SANDS STREET","11201","FARRAGUT","29","3","3","BROOKLYN","192","SANDS STREET","11201","5E","5","00090","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10SQFT AT NORTH AND EAST WALL  IN THE  PRIVATE HALLWAY  LOCATED AT APT 5E, 5th STORY, 3rd APARTMENT FROM NORTH AT EAST","A","01/21/2026","01/22/2026","550","N","40.699757","-73.982603","302","35","3325920","3000900001","23","BK0202"
"18586452","809336","3","BROOKLYN","192","192","192","SANDS STREET","11201","FARRAGUT","29","3","3","BROOKLYN","192","SANDS STREET","11201","5E","5","00090","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10SQFT AT CEILING , WEST AND NORTH WALL   IN THE  BATHROOM  LOCATED AT APT 5E, 5th STORY, 3rd APARTMENT FROM NORTH AT EAST","A","01/21/2026","01/22/2026","550","N","40.699757","-73.982603","302","35","3325920","3000900001","23","BK0202"
"18600474","806034","1","MANHATTAN","74","74","76","WEST 103 STREET","10025","DOUGLASS I","82","17","1","MANHATTAN","74","WEST 103 STREET","10025","4A","4","01836","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ FT AT WALL IN THE SOUTH CLOSET  IN THE  3rd ROOM  FROM NORTH LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST","A","01/28/2026","01/29/2026","550","N","40.79718","-73.964009","107","7","1081302","1018360001","189","MN0703"
"18600787","804742","1","MANHATTAN","950","950","950","EAST 4 WALK","10009","WALD","23","12","1","MANHATTAN","950","EAST 4 WALK","10009","1G","1","00356","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THEN 30 SQ FEET AT AT NORTH AND EAST WALL  IN THE  KITCHEN  LOCATED AT APT 1G, 1st STORY, 2nd APARTMENT FROM WEST AT NORTH","B","01/28/2026","02/12/2026","550","N","40.720319","-73.975617","103","2","1078056","1003560001","20","MN0303"
"18662258","972853","1","MANHATTAN","3150","3140","3150","BROADWAY","10027","GRANT","87","2","1","MANHATTAN","3150","BROADWAY","10027","11E","11","01980","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQUARE FEET AT THE CEILING   IN THE  BATHROOM  LOCATED AT APT 11E, 11th STORY, 2nd APARTMENT FROM SOUTH AT WEST","B","02/24/2026","02/24/2026","550","N","40.814239","-73.959336","109","7","1084117","1019800001","211","MN0901"
"18619528","804997","1","MANHATTAN","1536","1536","1538","LEXINGTON AVENUE","10029","LEXINGTON","50","16","1","MANHATTAN","1536","LEXINGTON AVENUE","10029","2E","2","01626","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQUARE FEET   IN THE  KITCHEN  LOCATED AT APT 2E, 2nd STORY, 2nd APARTMENT FROM WEST AT NORTH","B","02/04/2026","02/04/2026","550","N","40.787324","-73.94988","111","8","1078912","1016260001","166","MN1101"
"18596678","864102","1","MANHATTAN","30","30","30","PALADINO AVENUE","10035","WAGNER","74","11","1","MANHATTAN","30","PALADINO AVENUE","10035","2D","2","01808","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ FT AT CEILING            CEILING IN THE  BATHROOM  LOCATED AT APT 2D, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST","A","01/26/2026","01/26/2026","550","N","40.800214","-73.930869","111","8","1081294","1018080001","192","MN1102"
"18654927","847216","3","BROOKLYN","542","542","546","FLUSHING AVENUE","11206","MARCY","21","19","3","BROOKLYN","542","FLUSHING AVENUE","11206","2A","2","01719","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQFT AT THE            CEILING IN THE  BATHROOM  LOCATED AT APT 2A, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST","B","02/19/2026","02/19/2026","550","N","40.699583","-73.951735","303","36","3325581","3017190001","255","BK0301"
"18654928","847216","3","BROOKLYN","542","542","546","FLUSHING AVENUE","11206","MARCY","21","19","3","BROOKLYN","542","FLUSHING AVENUE","11206","2A","2","01719","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQFT AT THE 1ST STEAM RISER FROM EAST AT SOUTH            1st RISER  FROM EAST AT SOUTH WALL IN THE  BATHROOM  LOCATED AT APT 2A, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST","A","02/19/2026","02/19/2026","550","N","40.699583","-73.951735","303","36","3325581","3017190001","255","BK0301"
"18603012","864101","1","MANHATTAN","2385","2385","2385","1 AVENUE","10035","WAGNER","74","17","1","MANHATTAN","2385","1 AVENUE","10035","5E","5","01797","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ FT AT CEILING  IN THE  BATHROOM  LOCATED AT APT 5E, 5th STORY, 3rd APARTMENT FROM SOUTH AT WEST","A","01/29/2026","02/04/2026","550","N","40.799946","-73.932541","111","8","1081278","1017970001","194","MN1102"
"18635493","808526","3","BROOKLYN","811","811","817","HICKS STREET","11231","RED HOOK EAST","4","26","3","BROOKLYN","811","HICKS STREET","11231","1C","1","00538","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ FT AT CEILING, NORTH WALL, EAST WALL, SOUTH WALL AND WEST WALL   IN THE  BATHROOM  LOCATED AT APT 1C, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST","B","02/11/2026","02/12/2026","550","N","40.675324","-74.005451","306","38","3332230","3005380001","85","BK0601"
